DBDF, Vendor ID, Device ID, Class ID, Base Address 0, Size 0, Base Address 1, Size 1, Base Address 2, Size 2, Vendor, Device, Class
0000:72:12.5,0x8086,0x204D,0x1101,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E M3KTI Registers,Performance counters
0000:72:15.0,0x8086,0x2018,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E M2PCI Registers,System peripheral
0000:72:16.0,0x8086,0x2018,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E M2PCI Registers,System peripheral
0000:72:16.4,0x8086,0x2018,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E M2PCI Registers,System peripheral
0000:72:17.0,0x8086,0x2018,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E M2PCI Registers,System peripheral
0000:a0:04.0,0x8086,0x2021,0x0880,0x000000003FF1C004,0x00004000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CBDMA Registers,System peripheral
0000:a0:04.1,0x8086,0x2021,0x0880,0x000000003FF18004,0x00004000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CBDMA Registers,System peripheral
0000:a0:04.2,0x8086,0x2021,0x0880,0x000000003FF14004,0x00004000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CBDMA Registers,System peripheral
0000:a0:04.3,0x8086,0x2021,0x0880,0x000000003FF10004,0x00004000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CBDMA Registers,System peripheral
0000:a0:04.4,0x8086,0x2021,0x0880,0x000000003FF0C004,0x00004000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CBDMA Registers,System peripheral
